RegionName,City,State,Metro,CountyName,SizeRank,2017-12
33141,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,408,2000
7047,North Bergen,NJ,New York,Hudson,409,2100
92620,Irvine,CA,Los Angeles-Long Beach-Anaheim,Orange,410,3500
92648,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,411,3547.5
27519,Cary,NC,Raleigh,Wake,412,1750
96815,Honolulu,HI,Urban Honolulu,Honolulu,413,2398.5
94087,Sunnyvale,CA,San Jose,Santa Clara,414,4000
60608,Chicago,IL,Chicago,Cook,415,1800
98122,Seattle,WA,Seattle,King,416,2449.5
32825,Orlando,FL,Orlando,Orange,417,1495
7305,Jersey City,NJ,New York,Hudson,418,1800
30083,Stone Mountain,GA,Atlanta,Dekalb,418,1100
20904,Silver Spring,MD,Washington,Montgomery,420,2292
10014,New York,NY,New York,New York,421,3550
59102,Billings,MT,Billings,Yellowstone,422,997.5
19148,Philadelphia,PA,Philadelphia,Philadelphia,423,1350
95648,Lincoln,CA,Sacramento,Placer,424,1995
95125,San Jose,CA,San Jose,Santa Clara,425,3400
75204,Dallas,TX,Dallas-Fort Worth,Dallas,426,2000
33436,Boynton Beach,FL,Miami-Fort Lauderdale,Palm Beach,427,1900
27407,Greensboro,NC,,Guilford,428,995
78664,Round Rock,TX,Austin,Williamson,429,1495
97124,Hillsboro,OR,Portland,Washington,430,1750
96706,Ewa Beach,HI,Urban Honolulu,Honolulu,431,2585
77070,Houston,TX,Houston,Harris,432,1550
33463,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,433,1600
33324,Plantation,FL,Miami-Fort Lauderdale,Broward,434,1675
6511,New Haven,CT,New Haven,New Haven,435,1500
98034,Kirkland,WA,Seattle,King,436,2200
89074,Henderson,NV,Las Vegas,Clark,437,1395
92562,Murrieta,CA,Riverside,Riverside,437,1997.5
37129,Murfreesboro,TN,Nashville,Rutherford,439,1485
30067,Marietta,GA,Atlanta,Cobb,440,1280
11354,New York,NY,New York,Queens,441,2500
